"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-11","60","71","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-12","60","68","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-13","59","71","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-14","60","64","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-15","56","61","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-16","53","66","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-17","58","69","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-18","60","70","49"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-19","60","67","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-20","58","","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-21","57","63","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-22","51","57","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-23","52","58","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-24","51","60","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-25","50","60","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-26","50","60","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-27","50","65",""
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-28","56","63","46"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-29","51","58","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-30","50","58","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-03-31","51","65",""
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-01","54","68","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-02","57","68","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-03","53","58","43"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-04","49","60","38"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-05","51","64","39"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-06","56","71","41"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-07","62","70","55"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-08","62","73","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-09","64","79","53"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-10","69","88","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-11","68","75","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-12","61","69","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-13","56","67","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-14","58","72","47"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-15","62","78","48"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-16","64","76","51"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-17","62","70","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-18","57","66","46"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-19","55","68","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-20","58","74","45"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-21","64","81","50"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-22","69","84","57"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-23","71","83","58"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-24","69","85","56"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-25","68","84","54"
"USW00093193","FRESNO YOSEMITE INTERNATIONAL, CA US","2023-04-26","74","91","60"
